;;;;;;USA/CANADA;;;;;;;;OTHERS;;UK;;;;;;;;;;SPAIN;;FRANCE;;;;;;;;;;;;;;;Autres EUR;;;AMLAT;;;ASIA;ASIA;ASIA;;
Pays;Domaine ou Marque;Couleur;Nom du vin;Millésime;Available;Wine Spectator;Wine Enthusiast;Wine Advocate;Wine & Spirits;Vinous;James Suckling;Wine Align;Jeb Dunnuck;Miquel Hudin;TASTED Andreas Larson;Decanter;IWC;IWSC;Tim Atkin;Jancis Robinson;Wine Merchant Magazine;Wine Anorak;Harpers;Sommelier Edit Awards (Via CIVR);Drinks Business;Gourmets;Guia Penin;RVF;Le Point;Terre de Vins;Anivin;Mondial Grenache;Mondial SB;Gilbert & Gaillard;Sud-Ouest;Concours de Bruxelles;Académie des Vins et de la Gastronomie;Concours Général Agricole de Paris;Concours IGP;Bettane & Desseauve;PARIS INTERNATIONAL TROPHY;GILBERT & GAILLARD (gold entre 87 et 89 / dble gold à partir 90);Falstaff;Yves Beck;Mundus vini;Descorchados;Vinomanos;la CAV;Tatler HK;Jeannie Cho Lee MW;Sakura Wine Awards;RECAP EMAIL;date_ajout
Argentine;Bodega Piedra Negra ;Rouge ;Gran Lurton Tinto;2020;x;;;;;93;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93JS;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Lurton Tinto;2022;x;;;;;94;92;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"93TA ; 92JS";
Argentine;Bodega Piedra Negra ;Rouge ;Gran Lurton Tinto;2024;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95 - Double Gold;;;;;;;;;;;;;;;;;;95 G&G;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Malbec;2002;;;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Malbec;2009;;;91;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Malbec;2011;;91;90;;;;89;;;;;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Malbec;2012;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Malbec;2013;;88;;92;;;92;;;;;87;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Malbec;2014;;;;92+;;;94;;;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Malbec;2015;;91;91;;;93;93;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Malbec;2016;;;;;;92+;94;;;;;;;;95;;;;;;;;;;;;;;;;;;;;;;;;;;;92;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Malbec;2017;;87;93;;;92;97;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;92;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Malbec;2018;;91;;;;;93;;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;95;;;;;;"95D ; 93JS ; 93TA ; 91WS";
Argentine;Bodega Piedra Negra ;Rouge ;Gran Malbec;2020;;;;;;;93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93JS;
Argentine;Bodega Piedra Negra ;Rouge ;Gran Malbec;2021;x;;;;;91;91;;;;;;;;94;;;;;;;;;;;;;;;;;;;;;;;;;;;95;;;;;;"91JS ; 94TA ; 95D ; 91V";
Argentine;Bodega Piedra Negra ;Rouge ;Gran Malbec;2023;x;;;;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentine;Bodega Piedra Negra ;Rouge ;L'Esprit de Chacayes;2016;;90;;;;;93;;;;;;;;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
